scenario_id,intent_a,tone_a,domain_a,error_a,metric_fact_coverage_a,metric_tone_alignment_a,metric_writing_quality_a,composite_score_a,intent_b,tone_b,domain_b,error_b,metric_fact_coverage_b,metric_tone_alignment_b,metric_writing_quality_b,composite_score_b,metric_fact_coverage_delta,metric_tone_alignment_delta,metric_writing_quality_delta,composite_score_delta,winner
1,Follow up after a job interview,"Formal, grateful",HR / Career,,0.9148,0.9,0.8218,0.8789,Follow up after a job interview,"Formal, grateful",HR / Career,,0.8764,0.9,0.8212,0.8659,0.03839999999999999,0.0,0.0005999999999999339,0.013000000000000012,tie
2,Request a project deadline extension,"Apologetic, professional",Internal / Engineering,,1.0,0.9,0.5,0.8,Request a project deadline extension,"Apologetic, professional",Internal / Engineering,,0.9294,0.0,0.875,0.6015,0.0706,0.9,-0.375,0.1985,A
3,Pitch a product to a new potential client,"Persuasive, confident",Sales,,0.9186,0.9,0.5324,0.7837,Pitch a product to a new potential client,"Persuasive, confident",Sales,,0.9315,0.7,0.7235,0.785,-0.012900000000000023,0.20000000000000007,-0.19110000000000005,-0.0013000000000000789,tie
4,Decline a meeting invitation politely,"Warm, casual",Networking,,0.8635,0.0,0.875,0.5795,Decline a meeting invitation politely,"Warm, casual",Networking,,0.8697,0.9,0.6776,0.8158,-0.006199999999999983,-0.9,0.19740000000000002,-0.23629999999999995,B
5,Escalate a critical production bug to engineering leadership,"Urgent, technical",Engineering,,0.8325,0.8,0.7956,0.8094,Escalate a critical production bug to engineering leadership,"Urgent, technical",Engineering,,0.8936,0.8,0.6645,0.786,-0.06109999999999993,0.0,0.1311,0.023399999999999976,A
6,Thank a mentor for career advice that led to a successful outcome,"Personal, sincere",Career,,0.8118,0.9,0.8201,0.844,Thank a mentor for career advice that led to a successful outcome,"Personal, sincere",Career,,0.8621,0.9,0.8347,0.8656,-0.05030000000000001,0.0,-0.014599999999999946,-0.021600000000000064,B
7,Request a vendor quote for cloud infrastructure services,"Formal, concise",Procurement,,0.7554,0.0,0.773,0.5095,Request a vendor quote for cloud infrastructure services,"Formal, concise",Procurement,,0.7409,0.0,0.875,0.5386,0.014499999999999957,0.0,-0.10199999999999998,-0.029100000000000015,B
8,Announce a new remote work policy to the team,"Neutral, clear",HR / Internal,,0.9569,0.9,0.75,0.869,Announce a new remote work policy to the team,"Neutral, clear",HR / Internal,,0.9688,0.9,0.8274,0.8987,-0.011900000000000022,0.0,-0.07740000000000002,-0.02970000000000006,B
9,Follow up on an overdue invoice,"Firm, professional",Finance,,0.9934,0.9,0.875,0.9228,Follow up on an overdue invoice,"Firm, professional",Finance,,0.8888,0.9,0.6709,0.8199,0.10459999999999992,0.0,0.20409999999999995,0.10289999999999999,A
10,Propose a strategic partnership to another company,"Enthusiastic, strategic",Business Development,,0.9918,0.9,0.875,0.9223,Propose a strategic partnership to another company,"Enthusiastic, strategic",Business Development,,0.9935,0.9,0.5874,0.827,-0.0017000000000000348,0.0,0.28759999999999997,0.09530000000000005,A
